,date,employeeType,position,work_location,Location,summary,pro,con,overallStar,workLifeStar,cultureStar,careerOppStar,comBenefitsStar,srManagementStar,reviewLink
1,25-Apr-21,Current Employee,Enjoy Expert,"Dallas, TX",MW,"""Great Start up""","Culture, Management, Meet new people every day, sales",Advancement only if relocate and Pay is below average,4,3,5,2,3,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW40560325.htm
2,25-Apr-21,Former Employee,Mobile Expert,None,,"""A genuine disappointment.""","4 Day week might be good for some, but shift bidding isn’t as it was sold at all.","Weak onboarding & orientation process, a lot of empty promises here. 

Very poor management overall, a huge range of quality of captain from office to office. 

Feedback which is apparently very valued doesn’t appear to land well with captains no matter how it is delivered. 

Incredibly poor (often completely absent) communication from top down. 

I’ve never experienced micromanaging like this & from speaking with other experts, it would seem I had it very light.

Incredibly limited progression (I didn’t see any in my office at all in 2 years) 

Culture of not taking responsibility for anything in local offices. 

Zero development available from the company, no offer of any kind of training / secondments in all my time here.  

A truly shambolic internal recruitment process, no real order to anything. They want you to demonstrate experience within enjoy but don’t give any opportunity to gain that. Feedback given after the process was incredibly low quality & of no use at all. 

HR, honestly seemed to be nonexistent. 

Zero integrity to values from management who would rather scare experts into miss selling, than offer any kind of actual assistance to their teams.",1,2,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW46018505.htm
3,21-Feb-21,Former Employee,Mobile Field Expert,"Philadelphia, PA",E,"""Don't get it twisted, this is a sales role""","I enjoyed helping people learn new skills, to improve their user experience with emerging technologies.
This job was actually cool at times. I got the opportunity to help a lot of cool people. However, I was a Top Performer and didn't have to endure much of the stress other experts experienced. I enjoyed helping clients to have a better experience, and my colleagues to be more successful in identifying solutions.","Latest technologies... became telecommunications sales. 
Sales quotas set quite high for the amount of visits per day.
 jammed between long daily commuting, unsafe neighborhoods frequently visited as well as looking like a target with a shiny suitcase half-filled with junk.
 TBH ...not nearly appreciated or even close to compensated for achieving
 un-realistic daily metrics. especially no gratitude towards those Far Exceeding sales expectations.
Those who don't take off right away need to communicate with those who are performing.
They Didn't even Write me a letter of Recommendation after letting me go during a pandemic...",3,3,4,3,3,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42841913.htm
4,7-Apr-21,Current Employee,Field Technician,"Cambridge, East of England, England, England",UK,"""It’s in the name!""","Enjoy! 
Literally is the best company I AM still working for! 
My peers are all so likeminded individuals with a passion like no other. 
We thrive on creating a 5 star experience to the most important part of our business... our customers! (Enjoyers) 

Enjoy has 5 core values which, if used in any situation, will always bring out the best in you. 
Kindness is the key to everything, what we do comes from the heart. 

As a field expert I drive alone during my 10hr shift but feel very connected with my fellow experts as we always stay connected via phone calls or even zoom meetings! 
We learn so much and share best practices all the time! 
No two days are ever the same! 

If you’re thinking about joining a very dynamic company that gives you the flexibility to choose your own shifts on a rota basis as well as only working 4 days! Then this is the company for you. 
The list goes on!",There is always room for improvement but as a company we are always reviewing ways to do better and become more efficient,5,5,5,5,5,5,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45159636.htm
5,26-Apr-21,Former Employee,Mobile Expert,"Alexandria, VA",E,"""It was alright""","Great company ethics, Full 40 hours on your check even if you got off early","like all sales, there's a lot of goals and expectations",4,5,4,3,5,4,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW46067464.htm
6,24-Mar-21,Former Employee,Recruiter,"Palo Alto, CA",W,"""CEO asleep at the wheel. Please wake up!""","Has so much potential but is being squandered by two things: they never got HR leadership or Field leadership right. There are a lot of great people that work here and joined because of the CEO's vision of creating a people first business that helps bring a smile to other’s day. Unfortunately they’ve lost their way and it’s profits over people and they are bleeding talent. 

To the CEO, you need to know that your Chief of Field is not who they seem, she may put on a decent show while managing up but she treats people below her as a means to an end. I would like to see this business be successful but it never will be with her at the helm. People are afraid to tell you bad news so you don’t hear the truth. You need to start zooming into each part of the business and find out what’s really going on.","Too many to list. They’ve gone through countless HR leaders who are toxic and self absorbed. Their former Chief of Field was seen next to Ghislaine at a party and their current one is objectively worse.

How can you ever turn a meaningful profit if it takes $7k+ to get a new expert to their first visit and your experts quit after 3-4 months? The attrition will put you out of business and it’s primarily due to fear based management.",1,2,1,2,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW44494423.htm
7,26-Apr-21,Current Employee,Customer Experience Expert,"Huntingdon, England, England",UK,"""Amazing""","Great starting salary 
4 Days a week with plenty of overtime
Company van and fuel paid for
Great career path","Sales Job
Work rota varies week per week",5,4,5,5,5,5,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW46075388.htm
8,15-Apr-21,Current Employee,Field Expert,"Leeds, England, England",UK,"""AVOID AT ALL COSTS! DO NOT WORK HERE!""","Started off as a decent business, changed into hard selling overnight.","Unrealistic sales targets.

False promises to employees and customers.

Bad management and senior management.

Changed job role over night and salary without informing staff. Had to find out from online when my job was being advertised. Company tries to keep things 'hush hush.

Took Enjoy a long time to admit it was a selling job they tried to sugar coat it for a long time. 

Too much driving for 10 hours a day may as well be a DPD driver and get paid more. 

Management only like you if you are the top experts and don't care if anyone is cheating they turn a blind eye to it.

High turnover of staff.

Bad staff morale and same long days makes it boring. 

Captain is horrible.

No career advancement whatsoever. We have had no lead expert at the Leeds EH for 2 years now. Management only want to take on external EE/BT employees.

No benefits or rewards to the job.",1,1,1,1,1,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW45557739.htm
9,8-Feb-21,Current Employee,HQ Employee,None,,"""HQ Culture - Toxic, Manipulative, and Misogynistic""","- If you have a great boss who is a leader you will be challenged and developed
- Promising business concept that has grown despite the pandemic
- Some really smart and caring people, teams, and leaders","- Toxic and cutthroat culture : You can only get ahead now at HQ through manipulation, jockeying for power, and sucking up. If you speak up and create any sort of friction you will find yourself outcasted quickly. The culture is now defined by how well you can deflect and blame someone else or another team for your mistakes. 
- Misogyny : Men dominate the senior leadership team and women who once held positions of influence have seen their roles diminished. The men in power are condescending and tone deaf. It's the epitome of Silicon Valley tech bro culture.
- Skewed priorities : relentless focus on driving for results without equal attention to people and culture. So much conversation and emphasis is placed on growth. Employee engagement and DE&I are usually footnotes or afterthoughts that seem to exist merely so the exec team can check it off the to-do list.",2,3,1,3,2,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW42164460.htm
10,25-Apr-21,Current Employee,Expert,"London, England, England",UK,"""Ok but very sales oriented now which isn't how job is advertised""","Great pay
Company vehicle
Good team
Perks
4 day week","Long hours
Very bad management (Captains)",3,3,2,2,3,1,https://www.glassdoor.co.in/Reviews/Enjoy-Technology-Reviews-E1090707.htm/Reviews/Employee-Review-Enjoy-Technology-RVW46027703.htm
